artists,year,song_id,popularity
"Joyner Lucas', 'Logic",2020,4h7qcXBtaOJnmrapxoWxGf,73
"Galantis', 'Ship Wrek', 'Pink Sweat$",2020,4iWKQu7GcqRl1aVll2PD20,73
"Lil Tecca', 'Lil Tjay",2020,62uolmVjOio9xIfwDM1ZvC,73
"Arizona Zervas",2020,6B2RbPOuwAKtxNAnIKY63A,73
"Migos', 'Travis Scott', 'Young Thug",2020,6ZelF5APDN5r6XnFqcnvWR,73
"MASN', 'Trippie Redd",2020,7j0He3HOaCTWLG7IRQr33p,73
"Tiësto', 'ILIRA",2020,7sFk2PA3NsrrSsGa4CM3rs,73
"Pink Sweat$",2020,034KyQEk7IhbLtniVhBErj,73
"El Alfa', 'Lil Pump', 'Sech', 'Myke Towers', 'Vin Diesel",2020,047WmwIeerHyIUstFAEz5A,73
"Alec Benjamin",2020,08o7YsYkQXGjamCe9eDrrK,73
Wallows,2020,0APAKxMXB7jdDs4kw1l30y,73
"Sam Feldt', 'Sigma', 'Gia Koka",2020,0EdgK7ASb4kfRkW8pVMN02,73
"Tyga', 'Megan Thee Stallion",2020,0HIj0uo7zaFIpkzUIkDlmL,73
"Eminem', 'Young M.A",2020,0q2vG0UVuy6ajjcpkQHdZM,73
Jasiah,2020,0Sd0kdgU6HrIclxYjuV99j,73
"Brytiago', 'Dalex', 'Lenny Tavárez",2020,0WfoXzTTleO9bHtuQIn5EY,73
"Jesse & Joy",2020,0xfmcMetmQwClfYRarKtyY,73
"KSI', 'Aiyana-Lee",2020,13Npvj6mfPFQL5DiBKWSIQ,73
"Don Toliver', 'Kaash Paige', 'Travis Scott",2020,13QU8HBEBaSTZGq1HzQe9S,73
"Louis The Child', 'Quinn XCII', 'Chelsea Cutler",2020,1OeEpViPwVi1FfdNkOoIci,73
"Carly Rae Jepsen",2020,03o4HPzUwftpgAPNQSuaBS,72
Gunna,2020,03o9Cj2S5T56GeV9SeZNt0,72
"Khalid', 'Disclosure', 'DaVido', 'Tems",2020,04QTmCTsaVjcGaoxj8rSjE,72
"Conan Gray",2020,0kn2gu8Pd03DiYHzRvX2Xk,72
"Sean Stemaly",2020,0kSUH6KBoUrHWL93j1Lx3h,72
"Alessia Cara",2020,13QIjo2iGBgl56mNDjJOet,72
"DaBaby', 'Future', 'jetsonmade",2020,16oi4OiKmkO51l60F5R9kR,72
Kodaline,2020,1b3nlcP6hogIzYRVK2Ui7K,72
"Run The Jewels",2020,1EjzcBTVLV7ATtdsQwyV31,72
"Louis Tomlinson",2020,1eqwjXdMTed8Pz3PLNcHe9,72
"Carin Leon",2020,1nLs8r6K4YN0avBwUmmTnr,72
"Sech', 'Myke Towers",2020,3RGg9W1OyEiRMwu1Qi45dW,72
"Selena Gomez",2020,3ZCBSFcZSRM9Z48ew28Zrf,72
